Job Title,Company Name,Location,Description,Salary,MetaData,Posting
"Field Service Automation Engineer (NY, NY)",Abbott Laboratories,"New York, NY",  Partner with Enterprise Account Manager and/or Sales Executive to develop account-specific lab strategy and execution throughout commercial cycle and… ·More...,,"$78,000 - $145,000 a year",
Senior Cloud Engineer,EHE Health,"New York, NY","  Implement security best practices across cloud environments, including encryption, least-privilege access control, and network security. ·More...",,"$78,000 - $145,000 a year",
Software Development Engineer,Amazon.com Services LLC,"New York, NY","  3+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations… ·More...",,"$78,000 - $145,000 a year",
"Staff Software Engineer - Internal Platform Infrastructure, Networking",HashiCorp,"Remote in New York, NY",  The HashiCorp Platform Infrastructure team is responsible for providing hosted environments that meet the security and compliance needs of the cloud products. ·More...,,"$78,000 - $145,000 a year",
Senior Software Engineer - Backend,Samniya,"New York, NY","  Leading and mentoring a team of talented engineers.  A passion for learning new technologies and working in a dynamic, collaborative environment. EmployerActive 29 days ago·More...",,"$78,000 - $145,000 a year",Active 29 days ago
Senior Backend Engineer,Arrow Search Partners,"Remote in New York, NY","  Experience in designing complex and highly scalable software architecture.  Proficient programming capabilities in any backend language, ideally NodeJS or open… ·More...",,"$78,000 - $145,000 a year",
Senior Backend Engineer,Understood,"Hybrid work in New York, NY","  Experience with Agile software development processes.  Utilize Datadog for monitoring, alerting and analytics to proactively identify and resolve issues. ·More...",,"$78,000 - $145,000 a year",
"Technology- Software Development, Summer Analyst, New York City/ Jersey City 2025",Citi,"New York, NY","  You will work in an agile software development environment, developing quality and scalable software solutions using leading-edge technologies. ·More...",,"$78,000 - $145,000 a year",
software engineer jobs in New York State,,,,,,
"Specialist, Audio Software Engineer 1",L3Harris Technologies,"Rochester, NY","  Responsible for research, design, and development of embedded software for software defined radio products.  This is not a guarantee of compensation or salary,… ·More...",,"$78,000 - $145,000 a year",
"Front End Engineer II, Customer Data & Experience",Amazon.com Services LLC,"New York, NY","  The ideal candidate will be innovative, have great problem solving, analytical and technical skills.  We are looking for a motivated front end engineer with a… ·More...",,"$78,000 - $145,000 a year",
"Android Engineer, Mobile",Peloton,"Hybrid work in New York, NY 10011","  Ability to effectively translate Product, UX, UI, and analytics requirements into code implementations.  You will also have the responsibility to assist and grow… ·More...",,"$78,000 - $145,000 a year",
Software Engineer - ServiceNow,M&T Bank,"Buffalo, NY","  Minimum of an Associate’s degree and 5 years’ systems analysis/application development experience, or in lieu of a degree, a combined minimum of 7 years’ higher… ·More...",,"$78,000 - $145,000 a year",
"Senior Software Engineer, Quantitative",FanDuel,"Hybrid work in New York, NY","  Experience in quantitative modeling and coding; assisting in creating models and productionalizing software, with a focus on innovation in software development… ·More...",,"$78,000 - $145,000 a year",
Full Stack Developer,Arrow Search Partners,"Hybrid work in New York, NY","  Follow best practices for software development, including version control, testing, and continuous integration and delivery. ·More...",,"$78,000 - $145,000 a year",
Software Engineer,Sealed Air,"Grand Island, NY 14072",  2-5 years of software development experience.  The qualified candidate will be responsible for working with a software development team which advances our… ·More...,,"$78,000 - $145,000 a year",
"Backend and Systems Engineer, Flows",Postman,"New York, NY","  Background working with developer tools or similar technical products.  Design, build, and manage scalable, secure software and infrastructure in a Kubernetes… ·More...",,"$78,000 - $145,000 a year",
Software Engineer Specialist - Biller IQ,FIS Global,"New York, NY","  Participating in software design meetings to determine technical requirements.  Designing, programming, debugging and modifying software enhancements. ·More...",,"$78,000 - $145,000 a year",
"Backend Engineer, ML Focus",Accrete.AI,"New York, NY","  We specialize in creating advanced AI solutions that turn complex data into actionable insights, driving real-world impact for businesses and government… ·More...",,"$78,000 - $145,000 a year",
"Software Engineer, ML Compiler",Meta,"New York, NY","  3+ years experience writing compilers or similar code optimization software.  The successful candidate will be part of our efforts to architect, design and… ·More...",,"$78,000 - $145,000 a year",
"Senior Software Engineer, AI",the NBA,"New York, NY 10022","  Design scalable and efficient AI architectures that leverage distributed computing, cloud services, and big data infrastructure. ·More...",,"$78,000 - $145,000 a year",
High-Performance Computing Research - Software Engineer III,JPMorgan Chase,"New York, NY 10001","  Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,… ·More...",,"$78,000 - $145,000 a year",
Software Engineer,PRADCO,"Grand Island, NY 14072",  2+ years of software development experience using C++ and Windows programming.  You will work on a software development team which advances printing technology… EmployerActive 4 days ago·More...,,"$78,000 - $145,000 a year",Active 4 days ago
